City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Brodick,GB,2021-06-02 19:28:15,55.5754,-5.1472,62.35,75,100,15.86
262,Lazne Belohrad,CZ,2021-06-02 19:28:15,50.4287,15.5827,67.12,84,18,7.05
263,Altamira,BR,2021-06-02 19:28:15,-3.2033,-52.2064,86.09,74,40,3.44
264,Presidencia Roque Saenz Pena,AR,2021-06-02 19:28:16,-26.7852,-60.4388,76.91,61,99,6.71
265,Opuwo,NA,2021-06-02 19:24:36,-18.0607,13.84,64.22,28,42,9.35
266,Hamilton,US,2021-06-02 19:26:15,39.1834,-84.5333,67.21,95,90,4.0
267,Heinola,FI,2021-06-02 19:28:16,61.2056,26.0381,62.69,75,21,1.12
268,Kalabo,ZM,2021-06-02 19:28:17,-14.97,22.6814,65.55,37,13,4.54
269,Cookeville,US,2021-06-02 19:28:17,36.1628,-85.5016,69.51,86,75,3.0
270,Soyo,AO,2021-06-02 19:28:17,-6.1349,12.3689,76.66,86,1,7.27
271,Tiznit,MA,2021-06-02 19:28:18,29.5833,-9.5,67.93,55,92,6.64
272,Boromlya,UA,2021-06-02 19:28:18,50.6184,34.9704,57.58,72,100,16.69
273,Kyshtovka,RU,2021-06-02 19:28:14,56.555,76.6271,51.17,67,99,2.73
274,Mutis,CO,2021-06-02 19:28:18,6.2262,-77.4044,83.03,75,100,4.0
275,Beringovskiy,RU,2021-06-02 19:28:19,63.05,179.3167,31.89,79,24,7.83
276,Praia Da Vitoria,PT,2021-06-02 19:28:19,38.7333,-27.0667,66.45,59,20,8.12
277,Zyryanka,RU,2021-06-02 19:28:19,65.75,150.85,58.05,37,65,3.94
278,Olafsvik,IS,2021-06-02 19:28:20,64.8945,-23.7142,45.55,77,36,12.93
279,Hay River,CA,2021-06-02 19:28:20,60.8156,-115.7999,60.78,59,75,8.05
280,Kahului,US,2021-06-02 19:23:58,20.8947,-156.47,84.94,57,20,16.11
281,Kudat,MY,2021-06-02 19:28:21,6.8837,116.8477,78.73,94,20,0.0
282,Finnsnes,NO,2021-06-02 19:28:21,69.2296,17.9811,68.61,42,29,2.46
283,Trinidad,BO,2021-06-02 19:28:21,-14.8333,-64.9,86.22,53,87,5.06
284,Spearfish,US,2021-06-02 19:28:22,44.4908,-103.8594,81.01,20,1,1.99
285,Belmonte,BR,2021-06-02 19:28:22,-15.8631,-38.8828,82.4,69,3,9.17
286,Kurumkan,RU,2021-06-02 19:28:22,54.3,110.3,52.77,64,95,2.13
287,Okhotsk,RU,2021-06-02 19:28:23,59.3833,143.3,37.99,89,100,6.62
288,Qasigiannguit,GL,2021-06-02 19:26:10,68.8193,-51.1922,43.05,59,2,4.68
289,Jumla,NP,2021-06-02 19:28:23,29.2747,82.1838,54.68,84,27,3.31
290,Pangnirtung,CA,2021-06-02 19:28:23,66.1451,-65.7125,33.8,93,90,9.22
291,Palitana,IN,2021-06-02 19:28:24,21.5167,71.8333,87.26,56,0,10.02
292,Thanh Hoa,VN,2021-06-02 19:23:54,19.8,105.7667,83.62,84,95,3.2
293,Vuktyl,RU,2021-06-02 19:28:24,63.8567,57.3094,41.34,77,44,11.12
